,wine_name,vintage,winery_name,wine_style,wine_type,natural_wine,ratings_average,ratings_count,taste_acidity,taste_fizziness,taste_intensity,taste_sweetness,taste_tannin,flavor_score_black_fruit,flavor_score_citrus_fruit,flavor_score_dried_fruit,flavor_score_earth,flavor_score_floral,flavor_score_microbio,flavor_score_non_oak,flavor_score_oak,flavor_score_red_fruit,flavor_score_spices,flavor_score_tree_fruit,flavor_score_tropical_fruit,flavor_score_vegetal,grape_Cabernet Franc,grape_Cabernet Sauvignon,grape_Carménère,grape_Chardonnay,grape_Gewürztraminer,grape_Grenache,grape_Malbec,grape_Merlot,grape_Mourvedre,grape_Petit Verdot,grape_Petite Sirah,grape_Pinot Gris,grape_Pinot Noir,grape_Sauvignon Blanc,grape_Shiraz/Syrah,grape_Sémillon,grape_Zinfandel,years_old,num_grapes_used,is_blend,is_red
0,Ravenswood Old Vine Zinfandel 2013,2013,Ravenswood,Californian Zinfandel,Zinfandel,0,3.7,2129,1.7873453000000001,0.0,4.8640604000000005,2.521236,2.5062778,0.2067292138466516,0.004205758654157231,0.02976383047557425,0.09899708832093174,0.0051763183435781296,0.021999352960207053,0.12002588159171787,0.22387576835975406,0.17146554513102555,0.10805564542219348,0.0025881591717890648,0.0009705596894208992,0.006146878032999029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,1
1,Beringer Founders' Estate Zinfandel 2017,2017,Beringer,Californian Zinfandel,Zinfandel,0,3.8,2126,1.7924861,0.0,4.624084,2.8708537,2.4914848999999997,0.17268623024830698,0.0056433408577878106,0.034988713318284424,0.07110609480812641,0.007900677200902935,0.02031602708803612,0.13769751693002258,0.1918735891647856,0.18510158013544015,0.14672686230248308,0.010158013544018058,0.004514672686230248,0.011286681715575621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1
2,Ravage Cabernet Sauvignon 2014,2014,Ravage,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,3.7,2126,2.9814537,0.0,4.875816,1.8587087,3.3385712999999995,0.1479245283018868,0.0018867924528301887,0.00830188679245283,0.1471698113207547,0.004905660377358491,0.023018867924528303,0.18226415094339626,0.2656603773584906,0.09018867924528302,0.12075471698113208,0.004528301886792453,0.0003773584905660377,0.0030188679245283017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1
3,Goldeneye Anderson Valley Pinot Noir 2016,2016,Goldeneye,Californian Pinot Noir,Pinot Noir,0,4.3,2125,3.4487544999999997,0.0,3.1042533,1.5959876,2.0494380000000003,0.10247208931419458,0.003189792663476874,0.01674641148325359,0.14035087719298245,0.015151515151515154,0.02950558213716108,0.13237639553429026,0.2077352472089314,0.2204944178628389,0.11044657097288677,0.006379585326953748,0.00039872408293460925,0.01475279106858054,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,1
4,Wente Southern Hills Cabernet Sauvignon 2015,2015,Wente,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,3.8,2123,3.0107098,0.0,4.8000492999999995,1.6012377,3.3980322,0.21011368090944726,0.003920031360250882,0.01724813798510388,0.08741669933359468,0.0035280282242257936,0.022344178753430026,0.12818502548020386,0.22422579380635044,0.18345746765974127,0.10505684045472363,0.005096040768326146,0.001960015680125441,0.007448059584476676,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1
5,Ravenswood Besieged 2014,2014,Ravenswood,Californian Red Blend,Red Blend,0,3.7,2122,3.9293213,0.0,4.9106708,1.5485352,3.3391629999999997,0.27332601536772777,0.0,0.0076838638858397375,0.1119648737650933,0.00987925356750823,0.03402854006586169,0.09659714599341383,0.1877058177826564,0.18551042810098792,0.0845225027442371,0.004390779363336993,0.0021953896816684962,0.0021953896816684962,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,6,4,1,1
6,Stags' Leap Petite Sirah 2014,2014,Stags' Leap,Californian Petite Sirah,Petite Sirah,0,4.2,2116,3.4758701000000003,0.0,4.4691863,1.5892617,4.3303595,0.23015276734285,0.0030052592036063108,0.019534184823441023,0.13598797896318554,0.01828199348860506,0.02429251189581768,0.12121212121212123,0.22088655146506386,0.09541697971450036,0.11419984973703982,0.0052592036063110435,0.0015026296018031554,0.010267968945654895,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,1
7,Orin Swift Abstract 2012,2012,Orin Swift,Californian Red Blend,Red Blend,0,4.1,2116,3.8274197999999995,0.0,4.875993,1.7858555,3.4226286,0.1830820770519263,0.0038525963149078726,0.022278056951423784,0.11155778894472362,0.012395309882747068,0.026633165829145728,0.14221105527638192,0.22529313232830825,0.12981574539363486,0.12847571189279733,0.003015075376884422,0.0010050251256281408,0.010385259631490788,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,8,4,1,1
8,Freemark Abbey Cabernet Sauvignon 2012,2012,Freemark Abbey,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,4.2,2115,3.4372022000000007,0.0,4.8265805,1.5093226,3.4853606,0.1859557867360208,0.004768097095795404,0.01083658430862592,0.1330732553099263,0.008669267446900738,0.026874729085392284,0.14087559601213698,0.246640658864326,0.1083658430862592,0.11616818378846988,0.002600780234070221,0.00043346337234503684,0.014737754659731253,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1
9,Belle Glos Dairyman Vineyard Pinot Noir 2014,2014,Belle Glos,Californian Pinot Noir,Pinot Noir,0,4.4,2112,3.3903656000000004,0.0,3.3364722999999996,1.7546958,1.9939832999999998,0.12094225797184716,0.002298190175237001,0.018672795173800636,0.09422579718471703,0.009767308244757252,0.03131284113760414,0.1625969548980178,0.21832806664751508,0.2013789141051422,0.1281241022694628,0.0037345590347601268,0.0008618213157138753,0.007756391841424878,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,1
10,Stags' Leap The Investor Red 2015,2015,Stags' Leap,Californian Red Blend,Red Blend,0,4.3,2111,3.7986565000000003,0.0,4.797286,1.5345832,3.3900619,0.1909246575342466,0.0008561643835616438,0.01327054794520548,0.1583904109589041,0.00898972602739726,0.01969178082191781,0.1446917808219178,0.2341609589041096,0.11601027397260275,0.10188356164383562,0.003852739726027397,0.0,0.007277397260273972,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5,4,1,1
11,Robert Mondavi Cabernet Sauvignon 2010,2010,Robert Mondavi,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,3.8,2109,3.4583532999999997,0.0,4.7758574000000005,1.6294378999999999,3.5628010000000003,0.2050345887778632,0.004227517294388932,0.012298232129131436,0.13182167563412758,0.010953112990007686,0.020945426594926982,0.13105303612605687,0.24788624135280554,0.0983858570330515,0.11971560338201385,0.004419677171406611,0.0005764796310530362,0.012682551883166795,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1
12,Bread & Butter Cabernet Sauvignon 2018,2018,Bread & Butter,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,4.1,2106,2.9546494,0.0,4.615876999999999,1.9450576000000002,3.1736872000000003,0.09894212818917238,0.001866832607342875,0.012134411947728687,0.08556316116988177,0.004355942750466709,0.07840696950840075,0.18668326073428748,0.2647790914747978,0.08836341008089607,0.17050404480398254,0.001866832607342875,0.0006222775357809582,0.005911636589919104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
13,Bonterra Cabernet Sauvignon 2015,2015,Bonterra,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,3.6,2106,3.0842657000000004,0.0,4.786636,1.4738826,3.4453324999999997,0.16666666666666666,0.005208333333333333,0.007440476190476191,0.08035714285714286,0.004464285714285714,0.031622023809523815,0.15438988095238096,0.2328869047619048,0.1209077380952381,0.18080357142857145,0.005952380952380952,0.002232142857142857,0.007068452380952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1
14,Clos du Val Cabernet Sauvignon 2013,2013,Clos du Val,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,4.0,2106,3.4530572999999998,0.0,4.749701,1.5648582,3.4242098,0.19263642340565415,0.0023011176857330702,0.012491781722550955,0.15055884286653518,0.011505588428665352,0.0401051939513478,0.1383957922419461,0.2373438527284681,0.08777120315581853,0.11045364891518736,0.0026298487836949377,0.0023011176857330702,0.011505588428665352,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1
15,Silverado Vineyards Estate Cabernet Sauvignon 2014,2014,Silverado Vineyards,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,4.2,2100,3.4412863,0.0,4.7909174000000005,1.522061,3.4068023999999997,0.2068696330991413,0.00546448087431694,0.008196721311475409,0.1209992193598751,0.008196721311475409,0.01795472287275566,0.12763466042154567,0.2228727556596409,0.13856362217017953,0.1284153005464481,0.00546448087431694,0.00078064012490242,0.00858704137392662,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1
