grape_Sauvignon Blanc,grape_Pinot Gris,wine_type,flavor_score_red_fruit,flavor_score_spices,grape_Pinot Noir,flavor_score_citrus_fruit,grape_Petite Sirah,grape_Mourvedre,taste_acidity,flavor_score_black_fruit,grape_Petit Verdot,flavor_score_tropical_fruit,grape_Cabernet Sauvignon,grape_Merlot,grape_Gewürztraminer,grape_Carménère,flavor_score_earth,flavor_score_vegetal,taste_tannin,flavor_score_non_oak,taste_intensity,taste_sweetness,natural_wine,ratings_average,wine_name,grape_Chardonnay,flavor_score_microbio,grape_Shiraz/Syrah,flavor_score_oak,grape_Grenache,grape_Malbec,grape_Sémillon,flavor_score_dried_fruit,vintage,flavor_score_tree_fruit,flavor_score_floral,wine_style,ratings_count,grape_Cabernet Franc,winery_name,taste_fizziness,grape_Zinfandel
,,Old Vine Zinfandel,0.17146554513102555,0.10805564542219347,,0.0042057586541572305,,,1.7873453,0.20672921384665158,,0.0009705596894208993,,,,,0.09899708832093174,0.0061468780329990294,2.5062778,0.12002588159171788,4.8640604,2.521236,False,3.7,Ravenswood Old Vine Zinfandel 2013,,0.021999352960207053,,0.22387576835975412,,,,0.029763830475574248,2013,0.002588159171789065,0.00517631834357813,Californian Zinfandel,2129,,Ravenswood,,1
,,Founders' Estate Zinfandel,0.18510158013544017,0.14672686230248308,,0.0056433408577878106,,,1.7924861,0.172686230248307,,0.004514672686230248,,,,,0.07110609480812641,0.011286681715575621,2.4914849,0.13769751693002258,4.624084,2.8708537,False,3.8,Beringer Founders' Estate Zinfandel 2017,,0.020316027088036117,,0.19187358916478556,,,,0.034988713318284424,2017,0.010158013544018058,0.007900677200902935,Californian Zinfandel,2126,,Beringer,,1
,,Cabernet Sauvignon,0.09018867924528302,0.12075471698113208,,0.0018867924528301887,,,2.9814537,0.1479245283018868,,0.0003773584905660377,1,,,,0.1471698113207547,0.0030188679245283017,3.3385713,0.18226415094339624,4.875816,1.8587087,False,3.7,Ravage Cabernet Sauvignon 2014,,0.023018867924528303,,0.2656603773584906,,,,0.00830188679245283,2014,0.004528301886792453,0.004905660377358491,Californian Cabernet Sauvignon,2126,,Ravage,,
,,Anderson Valley Pinot Noir,0.2204944178628389,0.11044657097288677,1,0.003189792663476874,,,3.4487545,0.10247208931419458,,0.00039872408293460925,,,,,0.14035087719298245,0.014752791068580542,2.049438,0.13237639553429026,3.1042533,1.5959876,False,4.3,Goldeneye Anderson Valley Pinot Noir 2016,,0.029505582137161084,,0.2077352472089314,,,,0.01674641148325359,2016,0.006379585326953748,0.015151515151515152,Californian Pinot Noir,2125,,Goldeneye,,
,,Southern Hills Cabernet Sauvignon,0.18345746765974127,0.10505684045472363,,0.003920031360250882,,,3.0107098,0.21011368090944726,,0.001960015680125441,1,,,,0.08741669933359467,0.007448059584476676,3.3980322,0.12818502548020383,4.8000493,1.6012377,False,3.8,Wente Southern Hills Cabernet Sauvignon 2015,,0.022344178753430026,,0.22422579380635044,,,,0.01724813798510388,2015,0.005096040768326146,0.0035280282242257936,Californian Cabernet Sauvignon,2123,,Wente,,
,,Besieged,0.18551042810098792,0.0845225027442371,,,,,3.9293213,0.27332601536772777,,0.0021953896816684962,1,1,,,0.1119648737650933,0.0021953896816684962,3.339163,0.09659714599341383,4.9106708,1.5485352,False,3.7,Ravenswood Besieged 2014,,0.03402854006586169,1,0.1877058177826564,,,,0.007683863885839737,2014,0.0043907793633369925,0.009879253567508232,Californian Red Blend,2122,,Ravenswood,,1
,,Petite Sirah,0.09541697971450037,0.11419984973703982,,0.003005259203606311,1,,3.4758701,0.23015276734284998,,0.0015026296018031556,,,,,0.13598797896318557,0.010267968945654895,4.3303595,0.12121212121212122,4.4691863,1.5892617,False,4.2,Stags' Leap Petite Sirah 2014,,0.02429251189581768,,0.22088655146506386,,,,0.019534184823441023,2014,0.005259203606311044,0.01828199348860506,Californian Petite Sirah,2116,,Stags' Leap,,
,,Abstract,0.12981574539363483,0.12847571189279733,,0.0038525963149078726,,,3.8274198,0.1830820770519263,,0.0010050251256281408,1,1,,,0.11155778894472362,0.010385259631490788,3.4226286,0.14221105527638192,4.875993,1.7858555,False,4.1,Orin Swift Abstract 2012,,0.026633165829145728,1,0.22529313232830822,,,,0.022278056951423784,2012,0.003015075376884422,0.012395309882747068,Californian Red Blend,2116,,Orin Swift,,1
,,Cabernet Sauvignon,0.10836584308625921,0.11616818378846988,,0.004768097095795405,,,3.4372022,0.1859557867360208,,0.00043346337234503684,1,,,,0.1330732553099263,0.014737754659731253,3.4853606,0.14087559601213698,4.8265805,1.5093226,False,4.2,Freemark Abbey Cabernet Sauvignon 2012,,0.026874729085392284,,0.24664065886432596,,,,0.010836584308625921,2012,0.002600780234070221,0.008669267446900737,Napa Valley Cabernet Sauvignon,2115,,Freemark Abbey,,
,,Dairyman Vineyard Pinot Noir,0.2013789141051422,0.1281241022694628,1,0.002298190175237001,,,3.3903656,0.12094225797184717,,0.0008618213157138753,,,,,0.09422579718471703,0.007756391841424878,1.9939833,0.16259695489801781,3.3364723,1.7546958,False,4.4,Belle Glos Dairyman Vineyard Pinot Noir 2014,,0.03131284113760414,,0.21832806664751508,,,,0.018672795173800633,2014,0.0037345590347601263,0.009767308244757253,Californian Pinot Noir,2112,,Belle Glos,,
