grape_Malbec,grape_Zinfandel,grape_Chardonnay,taste_acidity,ratings_average,wine_name,flavor_score_red_fruit,grape_Shiraz/Syrah,grape_Pinot Noir,flavor_score_spices,flavor_score_tropical_fruit,grape_Petite Sirah,taste_tannin,grape_Sémillon,winery_name,flavor_score_citrus_fruit,flavor_score_tree_fruit,flavor_score_dried_fruit,wine_type,grape_Merlot,ratings_count,taste_intensity,taste_sweetness,flavor_score_microbio,flavor_score_vegetal,flavor_score_floral,flavor_score_non_oak,grape_Carménère,flavor_score_black_fruit,wine_style,grape_Petit Verdot,grape_Cabernet Franc,flavor_score_earth,grape_Cabernet Sauvignon,natural_wine,flavor_score_oak,vintage,taste_fizziness
,1,,1.7873453,3.7,Ravenswood Old Vine Zinfandel 2013,0.17146554513102555,,,0.10805564542219347,0.0009705596894208993,,2.5062778,,Ravenswood,0.0042057586541572305,0.002588159171789065,0.029763830475574248,Old Vine Zinfandel,,2129,4.8640604,2.521236,0.021999352960207053,0.0061468780329990294,0.00517631834357813,0.12002588159171788,,0.20672921384665158,Californian Zinfandel,,,0.09899708832093174,,False,0.22387576835975412,2013,
,1,,1.7924861,3.8,Beringer Founders' Estate Zinfandel 2017,0.18510158013544017,,,0.14672686230248308,0.004514672686230248,,2.4914849,,Beringer,0.0056433408577878106,0.010158013544018058,0.034988713318284424,Founders' Estate Zinfandel,,2126,4.624084,2.8708537,0.020316027088036117,0.011286681715575621,0.007900677200902935,0.13769751693002258,,0.172686230248307,Californian Zinfandel,,,0.07110609480812641,,False,0.19187358916478556,2017,
,,,2.9814537,3.7,Ravage Cabernet Sauvignon 2014,0.09018867924528302,,,0.12075471698113208,0.0003773584905660377,,3.3385713,,Ravage,0.0018867924528301887,0.004528301886792453,0.00830188679245283,Cabernet Sauvignon,,2126,4.875816,1.8587087,0.023018867924528303,0.0030188679245283017,0.004905660377358491,0.18226415094339624,,0.1479245283018868,Californian Cabernet Sauvignon,,,0.1471698113207547,1,False,0.2656603773584906,2014,
,,,3.4487545,4.3,Goldeneye Anderson Valley Pinot Noir 2016,0.2204944178628389,,1,0.11044657097288677,0.00039872408293460925,,2.049438,,Goldeneye,0.003189792663476874,0.006379585326953748,0.01674641148325359,Anderson Valley Pinot Noir,,2125,3.1042533,1.5959876,0.029505582137161084,0.014752791068580542,0.015151515151515152,0.13237639553429026,,0.10247208931419458,Californian Pinot Noir,,,0.14035087719298245,,False,0.2077352472089314,2016,
,,,3.0107098,3.8,Wente Southern Hills Cabernet Sauvignon 2015,0.18345746765974127,,,0.10505684045472363,0.001960015680125441,,3.3980322,,Wente,0.003920031360250882,0.005096040768326146,0.01724813798510388,Southern Hills Cabernet Sauvignon,,2123,4.8000493,1.6012377,0.022344178753430026,0.007448059584476676,0.0035280282242257936,0.12818502548020383,,0.21011368090944726,Californian Cabernet Sauvignon,,,0.08741669933359467,1,False,0.22422579380635044,2015,
,1,,3.9293213,3.7,Ravenswood Besieged 2014,0.18551042810098792,1,,0.0845225027442371,0.0021953896816684962,,3.339163,,Ravenswood,,0.0043907793633369925,0.007683863885839737,Besieged,1,2122,4.9106708,1.5485352,0.03402854006586169,0.0021953896816684962,0.009879253567508232,0.09659714599341383,,0.27332601536772777,Californian Red Blend,,,0.1119648737650933,1,False,0.1877058177826564,2014,
,,,3.4758701,4.2,Stags' Leap Petite Sirah 2014,0.09541697971450037,,,0.11419984973703982,0.0015026296018031556,1,4.3303595,,Stags' Leap,0.003005259203606311,0.005259203606311044,0.019534184823441023,Petite Sirah,,2116,4.4691863,1.5892617,0.02429251189581768,0.010267968945654895,0.01828199348860506,0.12121212121212122,,0.23015276734284998,Californian Petite Sirah,,,0.13598797896318557,,False,0.22088655146506386,2014,
,1,,3.8274198,4.1,Orin Swift Abstract 2012,0.12981574539363483,1,,0.12847571189279733,0.0010050251256281408,,3.4226286,,Orin Swift,0.0038525963149078726,0.003015075376884422,0.022278056951423784,Abstract,1,2116,4.875993,1.7858555,0.026633165829145728,0.010385259631490788,0.012395309882747068,0.14221105527638192,,0.1830820770519263,Californian Red Blend,,,0.11155778894472362,1,False,0.22529313232830822,2012,
,,,3.4372022,4.2,Freemark Abbey Cabernet Sauvignon 2012,0.10836584308625921,,,0.11616818378846988,0.00043346337234503684,,3.4853606,,Freemark Abbey,0.004768097095795405,0.002600780234070221,0.010836584308625921,Cabernet Sauvignon,,2115,4.8265805,1.5093226,0.026874729085392284,0.014737754659731253,0.008669267446900737,0.14087559601213698,,0.1859557867360208,Napa Valley Cabernet Sauvignon,,,0.1330732553099263,1,False,0.24664065886432596,2012,
,,,3.3903656,4.4,Belle Glos Dairyman Vineyard Pinot Noir 2014,0.2013789141051422,,1,0.1281241022694628,0.0008618213157138753,,1.9939833,,Belle Glos,0.002298190175237001,0.0037345590347601263,0.018672795173800633,Dairyman Vineyard Pinot Noir,,2112,3.3364723,1.7546958,0.03131284113760414,0.007756391841424878,0.009767308244757253,0.16259695489801781,,0.12094225797184717,Californian Pinot Noir,,,0.09422579718471703,,False,0.21832806664751508,2014,
,1,,3.7986565,4.3,Stags' Leap The Investor Red 2015,0.11601027397260275,1,,0.10188356164383562,,,3.3900619,,Stags' Leap,0.0008561643835616438,0.003852739726027397,0.013270547945205479,The Investor Red,1,2111,4.797286,1.5345832,0.019691780821917807,0.007277397260273972,0.00898972602739726,0.1446917808219178,,0.1909246575342466,Californian Red Blend,,,0.1583904109589041,1,False,0.2341609589041096,2015,
,,,3.4583533,3.8,Robert Mondavi Cabernet Sauvignon 2010,0.0983858570330515,,,0.11971560338201384,0.0005764796310530361,,3.562801,,Robert Mondavi,0.004227517294388932,0.004419677171406611,0.012298232129131437,Cabernet Sauvignon,,2109,4.7758574,1.6294379,0.02094542659492698,0.012682551883166795,0.010953112990007686,0.13105303612605687,,0.20503458877786318,Napa Valley Cabernet Sauvignon,,,0.13182167563412758,1,False,0.24788624135280554,2010,
