grape_Cabernet Sauvignon,taste_tannin,flavor_score_tree_fruit,winery_name,wine_type,natural_wine,vintage,grape_Mourvedre,flavor_score_tropical_fruit,grape_Malbec,taste_sweetness,flavor_score_vegetal,grape_Cabernet Franc,flavor_score_non_oak,grape_Sémillon,grape_Sauvignon Blanc,grape_Grenache,flavor_score_red_fruit,grape_Merlot,grape_Chardonnay,ratings_average,flavor_score_citrus_fruit,ratings_count,taste_fizziness,flavor_score_floral,taste_intensity,taste_acidity,flavor_score_spices,flavor_score_earth,flavor_score_black_fruit,flavor_score_oak,flavor_score_dried_fruit,grape_Petit Verdot,grape_Zinfandel,grape_Shiraz/Syrah,flavor_score_microbio,grape_Carménère,wine_style,wine_name,grape_Pinot Noir
,,0.19640179910044978,Duckhorn,Napa Valley Sauvignon Blanc,False,2015,,0.1184407796101949,,1.4606402,0.05847076461769116,,0.025987006496751622,,1,,0.006496751624187906,,,3.9,0.2773613193403298,1034,,0.02448775612193903,2.994077,3.998294,0.033483258370814596,0.07846076961519241,0.0069965017491254375,0.10144927536231885,0.0024987506246876563,,,,0.06946526736631684,,Californian Sauvignon Blanc,Duckhorn Napa Valley Sauvignon Blanc 2015,
,2.5375066,0.004782146652497344,Turley,Juvenile Zinfandel,False,2015,,0.0005313496280552603,,2.555798,0.006907545164718385,,0.11583421891604676,,,,0.1758767268862912,,,4.2,0.0037194473963868225,1034,,0.007970244420828906,4.8177857,1.9272895,0.14930924548352817,0.10520722635494155,0.206163655685441,0.18119022316684377,0.02709883103081828,,1,,0.015409139213602551,,Californian Zinfandel,Turley Juvenile Zinfandel 2015,
,2.0951638,0.008057296329453895,Au Bon Climat,Pinot Noir Santa Barbara County,False,2014,,0.0013428827215756492,,1.5787133,0.01566696508504924,,0.09400179051029543,,,,0.2757385854968666,,,3.9,0.005819158460161146,1034,,0.01611459265890779,2.9225032,3.5106692,0.10026857654431513,0.1718889883616831,0.06266786034019696,0.18576544315129812,0.01342882721575649,,,,0.049239033124440466,,Californian Pinot Noir,Au Bon Climat Pinot Noir Santa Barbara County 2014,1
1,3.4242098,0.0026298487836949377,Clos du Val,Cabernet Sauvignon,False,2015,,0.0023011176857330702,,1.5648582,0.011505588428665352,,0.1383957922419461,,,,0.08777120315581854,,,4.3,0.0023011176857330702,1034,,0.011505588428665352,4.749701,3.4530573,0.11045364891518737,0.15055884286653518,0.19263642340565418,0.2373438527284681,0.012491781722550954,,,,0.040105193951347796,,Napa Valley Cabernet Sauvignon,Clos du Val Cabernet Sauvignon 2015,
1,3.3415267,0.0030211480362537764,The Federalist,Honest Red Blend,False,2015,,0.0015105740181268882,,1.7774596,0.004531722054380665,,0.1299093655589124,,,,0.1555891238670695,1,,3.9,0.0030211480362537764,1033,,0.006042296072507553,4.763585,3.7912488,0.1148036253776435,0.10876132930513595,0.19788519637462235,0.22507552870090636,0.01812688821752266,,1,1,0.03172205438066465,,Californian Red Blend,The Federalist Honest Red Blend 2015,
,,0.238544474393531,Dark Horse,Sauvignon Blanc,False,2015,,0.11859838274932614,,1.3697345,0.06199460916442048,,0.004043126684636119,,1,,0.004043126684636119,,,3.5,0.4568733153638814,1033,,0.012129380053908356,2.9904687,4.0829506,0.012129380053908356,0.0431266846361186,0.004043126684636119,0.013477088948787063,0.0013477088948787063,,,,0.029649595687331536,,Californian Sauvignon Blanc,Dark Horse Sauvignon Blanc 2015,
1,3.5061362,0.0071174377224199285,Gnarly Head,Cabernet Sauvignon,False,2017,,0.004270462633451958,,1.9064302,0.010676156583629894,,0.13594306049822064,,,,0.13594306049822064,,,3.8,0.004270462633451958,1033,,0.013523131672597865,4.7756968,3.0198555,0.14519572953736654,0.07900355871886121,0.16227758007117438,0.2391459074733096,0.029181494661921707,,,,0.03345195729537367,,Californian Cabernet Sauvignon,Gnarly Head Cabernet Sauvignon 2017,
,2.0176952,0.0033311125916055963,Diora,La Petite Grace Pinot Noir,False,2015,,0.0006662225183211193,,1.7685701,0.005329780146568954,,0.14656895403064624,,,,0.17854763491005995,,,4.2,0.0013324450366422385,1033,,0.003997335109926716,3.2079341,3.4260373,0.10992671552298468,0.11192538307794804,0.13590939373750832,0.25782811459027316,0.010659560293137908,,,,0.03397734843437708,,Californian Pinot Noir,Diora La Petite Grace Pinot Noir 2015,1
,2.036338,0.004672897196261682,Imagery,Pinot Noir,False,2017,,0.002336448598130841,,1.6796414,0.010514018691588784,,0.13434579439252337,,,,0.2441588785046729,,,3.8,0.008177570093457943,1031,,0.008177570093457943,3.0838056,3.317234,0.1191588785046729,0.09345794392523364,0.10981308411214953,0.2102803738317757,0.016355140186915886,,,,0.038551401869158876,,Californian Pinot Noir,Imagery Pinot Noir 2017,1
,2.1239192,0.004777070063694267,Cline,Pinot Noir,False,2015,,,,1.6527935,0.011146496815286623,,0.1597664543524416,,,,0.22664543524416136,,,3.8,0.005307855626326964,1031,,0.006369426751592357,3.0193324,3.4594376,0.13004246284501061,0.13004246284501061,0.049893842887473464,0.2361995753715499,0.011146496815286623,,,,0.028662420382165606,,Californian Pinot Noir,Cline Pinot Noir 2015,1
